eta_sq_regime,eta_sq_quality,eta_sq_interaction,f_regime,p_regime,f_quality,p_quality,model,layer,metric,denoised
0.7322463421120151,0.0027170965189911426,0.004903519851919237,2046.4262733055884,1.4724393046189616e-213,7.593534284559173,0.006004465873466359,qwen05b,2,clean_cos_slope_to_final,False
0.5382836699705406,0.007692706950271926,0.0011266061880237169,864.0644859063502,9.064505522458824e-126,12.348498100599445,0.0004686639298745625,qwen05b,2,clean_time_to_commit,False
0.09584344466681928,0.059140757530952694,0.05349788153819871,88.0310891781947,8.043593088997901e-20,54.32009793024131,4.642356873641815e-13,qwen05b,2,clean_commitment_sharpness,False
0.02913198395396175,0.26316032170104414,0.011425105272439697,33.30409174562484,1.1287697205333226e-08,300.8485625829763,2.0693996949665852e-57,qwen05b,3,full_speed,True
0.026569576592369613,0.2641845041118662,0.011321831269799071,30.303271273163713,4.986379779606163e-08,301.3090805732757,1.7500444732448104e-57,qwen05b,3,full_turn_angle,True
0.6317202599257035,0.05952288266797058,0.09068186175864903,2305.855035821097,2.5917865071839536e-237,217.2656909288778,1.1728816253765051e-43,qwen05b,3,full_tortuosity,True
0.6514220407425609,0.05900378397761721,0.08860770608639204,2580.1913449153167,5.741179790873683e-252,233.70571336941595,1.884138955151101e-46,qwen05b,3,full_dir_consistency,True
0.029150232163316737,0.2631420457797294,0.011418302467820938,33.32462644009745,1.1173879367126616e-08,300.8247182102287,2.0874417521068524e-57,qwen05b,3,full_stabilisation,True
0.029143854286039748,0.26314439947023777,0.011418663592694162,33.317159957072825,1.121512997748959e-08,300.8258263615251,2.0865997759515845e-57,qwen05b,3,full_radius_of_gyration,True
0.055504370262669155,0.23422198499773042,0.001941649392590262,62.3739701429698,9.421802199768262e-15,263.2108972669751,2.3574668581383066e-51,qwen05b,3,full_effective_dimension,True
0.012690381073455976,0.22623514240012998,0.0077797702538049745,12.348486255626122,0.00046843894606404265,220.1400832880446,9.664665840775583e-44,qwen05b,3,full_cos_slope_to_final,True
0.013320321274346946,0.2274822993472822,0.007488461645076492,12.988798275186216,0.00033455379118953643,221.82060301261276,5.052921190786508e-44,qwen05b,3,full_commitment_sharpness,True
0.7501805099820513,3.867068580232794e-06,0.0037676650784286047,2426.9402238198386,6.191139424417838e-244,0.012510514683807754,0.9109702132266027,qwen05b,3,clean_interlayer_alignment,True
0.7596428315519053,8.189651730504316e-06,0.004490066414316932,2563.7178082796186,4.025136610597921e-251,0.027639247173844077,0.8680019936780744,qwen05b,3,full_interlayer_alignment,True
0.02913724816651765,0.2631590742121763,0.011424450707270247,33.310270713291786,1.1253327087866887e-08,300.8485891519417,2.0693796787700372e-57,qwen05b,3,clean_speed,True
0.026770541362438643,0.2641716607820392,0.011320814984170882,30.540664244008084,4.43198181799067e-08,301.3752275494257,1.708423738178075e-57,qwen05b,3,clean_turn_angle,True
0.63737119671839,0.057196489585211126,0.08729000885193147,2325.7637850190076,2.0289159652147495e-238,208.709657405927,3.481737877897164e-42,qwen05b,3,clean_tortuosity,True
0.6457036423206509,0.060099633165057266,0.08619399337300843,2471.0257238791887,2.770091333878112e-246,229.99365314531033,7.980287672245936e-46,qwen05b,3,clean_dir_consistency,True
0.0258001762351672,0.23181780954553272,0.002472101875707475,27.756001021995143,1.773051560398202e-07,249.39113981291698,4.4797995063059206e-49,qwen05b,3,clean_stabilisation,True
0.029145030011246315,0.26314413508343093,0.011418630512188116,33.318546068129464,1.1207460490086168e-08,300.8259035572169,2.086541135156712e-57,qwen05b,3,clean_radius_of_gyration,True
0.06917507765972293,0.22303935156735508,0.0004368788769600687,77.84472134888497,6.976133694821375e-18,250.992651688861,2.4300434101428155e-49,qwen05b,3,clean_effective_dimension,True
0.013150094601155876,0.22909619371322235,0.00761157817273786,12.744409823070049,0.00038055689455079845,222.02850018509463,5.143736071093898e-44,qwen05b,3,clean_cos_slope_to_final,True
0.013292452813770674,0.22951161870479078,0.007894318394343021,12.896826945945069,0.00035128405430809626,222.6806195958773,4.002737378052412e-44,qwen05b,3,clean_time_to_commit,True
0.013182906710322873,0.2289473426817398,0.007606905846968809,12.774154078572494,0.0003746566931086461,221.84854187022097,5.512517825346515e-44,qwen05b,3,clean_commitment_sharpness,True
0.3721050541652312,0.0023774091223841857,0.0015388630555195357,474.68869629734553,6.607954607716228e-83,3.032824263571675,0.08198218248077024,qwen05b,3,clean_phase_count,False
0.6636194059209353,0.013747345732114174,0.006469038218923957,1670.78065825085,1.0743406306573886e-197,34.611403986338935,5.925893472463152e-09,qwen05b,3,full_speed,False
0.4734312716965337,0.0009721564226082686,0.04674604853909789,786.991501315492,5.935775882702736e-121,1.6160293759225726,0.2040176653153098,qwen05b,3,full_turn_angle,False
0.8063878458165323,0.019811125006370455,0.030000965475724242,4463.730465397776,0.0,109.66375882711314,3.948878468459844e-24,qwen05b,3,full_tortuosity,False
0.8096974058768982,0.018926560295904494,0.02956899145825034,4545.043210203423,0.0,106.23973072044731,1.8077738468209453e-23,qwen05b,3,full_dir_consistency,False
0.4664716863207804,9.302908493600943e-05,0.00042987366067023423,696.6373224259606,8.826573524578663e-111,0.1389313318214826,0.7094449573879255,qwen05b,3,full_stabilisation,False
