problem_id,condition,layer,metric,value
101,cot,21,trajectory_curvature,2.513671875
101,cot,22,trajectory_curvature,2.51953125
101,cot,23,trajectory_curvature,2.53125
101,cot,24,trajectory_curvature,
101,cot,0,commitment_sharpness,1.36328125
101,cot,1,commitment_sharpness,1.2236328125
101,cot,2,commitment_sharpness,1.2509765625
101,cot,3,commitment_sharpness,1.3427734375
101,cot,4,commitment_sharpness,1.3173828125
101,cot,5,commitment_sharpness,1.2578125
101,cot,6,commitment_sharpness,1.2978515625
101,cot,7,commitment_sharpness,1.32421875
101,cot,8,commitment_sharpness,1.271484375
101,cot,9,commitment_sharpness,1.224609375
101,cot,10,commitment_sharpness,1.2021484375
101,cot,11,commitment_sharpness,1.2001953125
101,cot,12,commitment_sharpness,1.2275390625
101,cot,13,commitment_sharpness,1.2109375
101,cot,14,commitment_sharpness,1.2509765625
101,cot,15,commitment_sharpness,1.212890625
101,cot,16,commitment_sharpness,1.2333984375
101,cot,17,commitment_sharpness,1.2138671875
101,cot,18,commitment_sharpness,1.4189453125
101,cot,19,commitment_sharpness,1.6533203125
101,cot,20,commitment_sharpness,1.59765625
101,cot,21,commitment_sharpness,1.5908203125
101,cot,22,commitment_sharpness,1.9169921875
101,cot,23,commitment_sharpness,1.7265625
101,cot,24,commitment_sharpness,
101,direct,0,next_layer_corr,-0.007288910590466195
101,direct,1,next_layer_corr,0.8360743537443397
101,direct,2,next_layer_corr,0.8241412026417364
101,direct,3,next_layer_corr,0.8764054077067278
101,direct,4,next_layer_corr,0.8569894678408807
101,direct,5,next_layer_corr,0.8409619159605914
101,direct,6,next_layer_corr,0.8740618270133974
101,direct,7,next_layer_corr,0.9065587242788324
101,direct,8,next_layer_corr,0.920784766338765
101,direct,9,next_layer_corr,0.9203416389218628
101,direct,10,next_layer_corr,0.9147133540178533
101,direct,11,next_layer_corr,0.9191847644647548
101,direct,12,next_layer_corr,0.9338091970083728
101,direct,13,next_layer_corr,0.9231331034494937
101,direct,14,next_layer_corr,0.8612979254446428
101,direct,15,next_layer_corr,0.8491450523393903
101,direct,16,next_layer_corr,0.8010555463752321
101,direct,17,next_layer_corr,0.8695464556360593
101,direct,18,next_layer_corr,0.8401453893265123
101,direct,19,next_layer_corr,0.8742714080808798
101,direct,20,next_layer_corr,0.8908465276265288
101,direct,21,next_layer_corr,0.906027875006021
101,direct,22,next_layer_corr,0.9219397281981223
101,direct,23,next_layer_corr,0.3072981383009137
101,direct,0,trajectory_curvature,2.609375
101,direct,1,trajectory_curvature,2.609375
101,direct,2,trajectory_curvature,2.59375
101,direct,3,trajectory_curvature,2.5390625
101,direct,4,trajectory_curvature,2.529296875
101,direct,5,trajectory_curvature,2.515625
101,direct,6,trajectory_curvature,2.517578125
101,direct,7,trajectory_curvature,2.521484375
101,direct,8,trajectory_curvature,2.5390625
101,direct,9,trajectory_curvature,2.5234375
101,direct,10,trajectory_curvature,2.515625
101,direct,11,trajectory_curvature,2.517578125
101,direct,12,trajectory_curvature,2.517578125
101,direct,13,trajectory_curvature,2.5078125
101,direct,14,trajectory_curvature,2.48828125
101,direct,15,trajectory_curvature,2.47265625
101,direct,16,trajectory_curvature,2.49609375
101,direct,17,trajectory_curvature,2.48046875
101,direct,18,trajectory_curvature,2.513671875
101,direct,19,trajectory_curvature,2.546875
101,direct,20,trajectory_curvature,2.60546875
101,direct,21,trajectory_curvature,2.61328125
101,direct,22,trajectory_curvature,2.63671875
101,direct,23,trajectory_curvature,2.640625
101,direct,24,trajectory_curvature,2.560546875
101,direct,0,commitment_sharpness,1.2734375
101,direct,1,commitment_sharpness,1.0673828125
101,direct,2,commitment_sharpness,1.048828125
101,direct,3,commitment_sharpness,1.1103515625
101,direct,4,commitment_sharpness,1.0830078125
101,direct,5,commitment_sharpness,1.068359375
101,direct,6,commitment_sharpness,1.0869140625
101,direct,7,commitment_sharpness,1.03515625
101,direct,8,commitment_sharpness,1.037109375
101,direct,9,commitment_sharpness,1.029296875
101,direct,10,commitment_sharpness,1.0302734375
101,direct,11,commitment_sharpness,1.0146484375
101,direct,12,commitment_sharpness,1.0166015625
101,direct,13,commitment_sharpness,1.015625
101,direct,14,commitment_sharpness,1.01171875
101,direct,15,commitment_sharpness,1.01953125
101,direct,16,commitment_sharpness,1.0595703125
101,direct,17,commitment_sharpness,1.2529296875
101,direct,18,commitment_sharpness,1.3486328125
101,direct,19,commitment_sharpness,1.40625
101,direct,20,commitment_sharpness,1.3525390625
101,direct,21,commitment_sharpness,1.4111328125
101,direct,22,commitment_sharpness,1.4951171875
101,direct,23,commitment_sharpness,1.4638671875
101,direct,24,commitment_sharpness,1.3544921875
102,cot,0,next_layer_corr,0.014336005612931512
102,cot,1,next_layer_corr,0.8110342950748365
102,cot,2,next_layer_corr,0.8641901292734929
102,cot,3,next_layer_corr,0.8649720892429603
102,cot,4,next_layer_corr,0.8539183021415979
102,cot,5,next_layer_corr,0.8567287368233992
102,cot,6,next_layer_corr,0.871594533244646
102,cot,7,next_layer_corr,0.8875327236350511
102,cot,8,next_layer_corr,0.8981290602936317
102,cot,9,next_layer_corr,0.9200168964555092
102,cot,10,next_layer_corr,0.9329446280601101
102,cot,11,next_layer_corr,0.9181350518979046
102,cot,12,next_layer_corr,0.9379532575358976
102,cot,13,next_layer_corr,0.9327498706961692
102,cot,14,next_layer_corr,0.9076039574536419
102,cot,15,next_layer_corr,0.9043204137455425
102,cot,16,next_layer_corr,0.8770990954752285
102,cot,17,next_layer_corr,0.9290732166871416
102,cot,18,next_layer_corr,0.9520030894326467
102,cot,19,next_layer_corr,0.9413402069543604
102,cot,20,next_layer_corr,0.931455746570288
102,cot,21,next_layer_corr,0.9514023907234822
102,cot,22,next_layer_corr,0.9483665759737191
102,cot,23,next_layer_corr,0.3762855429465607
102,cot,0,trajectory_curvature,2.6328125
102,cot,1,trajectory_curvature,2.59765625
102,cot,2,trajectory_curvature,2.5859375
102,cot,3,trajectory_curvature,2.56640625
102,cot,4,trajectory_curvature,2.55859375
102,cot,5,trajectory_curvature,2.556640625
102,cot,6,trajectory_curvature,2.55078125
102,cot,7,trajectory_curvature,2.546875
102,cot,8,trajectory_curvature,2.54296875
102,cot,9,trajectory_curvature,2.537109375
102,cot,10,trajectory_curvature,2.5390625
102,cot,11,trajectory_curvature,2.53515625
102,cot,12,trajectory_curvature,2.533203125
102,cot,13,trajectory_curvature,2.53125
102,cot,14,trajectory_curvature,2.529296875
102,cot,15,trajectory_curvature,2.529296875
102,cot,16,trajectory_curvature,2.52734375
102,cot,17,trajectory_curvature,2.529296875
102,cot,18,trajectory_curvature,2.533203125
102,cot,19,trajectory_curvature,2.529296875
