mag_bin,layer,metric,cohens_d,n_g4,n_g2
Large,18,radius_of_gyration,2.0375804660465584,59,17
Large,18,effective_dim,3.0462306347196337,59,17
Large,18,msd_exponent,5.859135181711283,59,17
Large,18,cos_to_late_window,-0.7256847382878715,59,17
Large,19,radius_of_gyration,1.419878156819385,59,17
Large,19,effective_dim,2.9115365082179028,59,17
Large,19,msd_exponent,6.335957103716969,59,17
Large,19,cos_to_late_window,-0.608190877869231,59,17
Large,20,radius_of_gyration,1.412233936126214,59,17
Large,20,effective_dim,2.782670998516791,59,17
Large,20,msd_exponent,5.7432958161760475,59,17
Large,20,cos_to_late_window,-0.726784693339996,59,17
Large,21,radius_of_gyration,1.447551646047216,59,17
Large,21,effective_dim,2.6583109890916354,59,17
Large,21,msd_exponent,5.479467871447833,59,17
Large,21,cos_to_late_window,-0.6965837014173423,59,17
Large,22,radius_of_gyration,0.8848294674347641,59,17
Large,22,effective_dim,2.4088826959006893,59,17
Large,22,msd_exponent,6.159893114927327,59,17
Large,22,cos_to_late_window,-0.7507128810020971,59,17
Large,23,radius_of_gyration,0.7719640750791927,59,17
Large,23,effective_dim,2.335673381935473,59,17
Large,23,msd_exponent,6.385221867730578,59,17
Large,23,cos_to_late_window,-0.7575681223899459,59,17
Large,24,radius_of_gyration,3.338533634492484,59,17
Large,24,effective_dim,1.628066518167073,59,17
Large,24,msd_exponent,5.824689572679998,59,17
Large,24,cos_to_late_window,-1.2495812155727692,59,17
Extra Large,0,radius_of_gyration,5.207979970423686,31,6
Extra Large,0,effective_dim,1.9366181357691625,31,6
Extra Large,0,msd_exponent,3.1230161186847663,31,6
Extra Large,0,cos_to_late_window,-1.5400105614505426,31,6
Extra Large,1,radius_of_gyration,3.6710508209521118,31,6
Extra Large,1,effective_dim,2.690545013410949,31,6
Extra Large,1,msd_exponent,3.5968273183383017,31,6
Extra Large,1,cos_to_late_window,-1.3606705240161956,31,6
Extra Large,2,radius_of_gyration,4.236575666474564,31,6
Extra Large,2,effective_dim,2.4730632844938865,31,6
Extra Large,2,msd_exponent,3.761089003787366,31,6
Extra Large,2,cos_to_late_window,-1.212446123045233,31,6
Extra Large,3,radius_of_gyration,3.9242442096015244,31,6
Extra Large,3,effective_dim,2.6204638845473975,31,6
Extra Large,3,msd_exponent,3.949267672323705,31,6
Extra Large,3,cos_to_late_window,-1.5756942964458724,31,6
Extra Large,4,radius_of_gyration,4.157882064676527,31,6
Extra Large,4,effective_dim,2.612105717494657,31,6
Extra Large,4,msd_exponent,3.9910898831156176,31,6
Extra Large,4,cos_to_late_window,-1.418203762399515,31,6
Extra Large,5,radius_of_gyration,2.8954948568834045,31,6
Extra Large,5,effective_dim,2.4039391599404416,31,6
Extra Large,5,msd_exponent,4.587475981608474,31,6
Extra Large,5,cos_to_late_window,-1.206212495261779,31,6
Extra Large,6,radius_of_gyration,3.3392814354618943,31,6
Extra Large,6,effective_dim,2.3711954268547535,31,6
Extra Large,6,msd_exponent,4.7169128116944785,31,6
Extra Large,6,cos_to_late_window,-1.3566181607736343,31,6
Extra Large,7,radius_of_gyration,3.7499561086322797,31,6
Extra Large,7,effective_dim,2.307806176635303,31,6
Extra Large,7,msd_exponent,4.506827651673647,31,6
