comparison,g1,g2,layer,metric,g1_mean,g2_mean,cohens_d,p_value,significant
CoT Success vs Direct Failure,G4,G1,5,early_late_ratio,0.9550857971601957,1.1480610979696548,-2.5430004637720565,0.0,True
CoT Success vs Direct Failure,G4,G1,5,radius_of_gyration,8.632013748579496,6.668848394864966,5.016680174526129,0.0,True
CoT Success vs Direct Failure,G4,G1,5,gyration_anisotropy,0.8735397244306842,0.908517842218343,-0.8348323359739741,0.0,True
CoT Success vs Direct Failure,G4,G1,5,drift_to_spread,1.4737420092783702,1.7766039074673827,-1.7204875136613365,0.0,True
CoT Success vs Direct Failure,G4,G1,5,dir_autocorr_lag2,-0.09523778088023306,-0.09333767011881833,-0.09773488446789556,0.498,False
CoT Success vs Direct Failure,G4,G1,5,dir_autocorr_lag4,0.07075395779433603,0.07886078327687246,-0.17259268240992512,0.284,False
CoT Success vs Direct Failure,G4,G1,5,dir_autocorr_lag8,-0.007853870489947784,0.004391391451160127,-0.2047149769365621,0.21,False
CoT Success vs Direct Failure,G4,G1,5,vel_autocorr_lag1,-46.833945424032855,-32.47422918794457,-2.5078430431340424,0.0,True
CoT Success vs Direct Failure,G4,G1,5,vel_autocorr_lag2,-11.723221783146196,-9.914051671181955,-0.728756095273206,0.0,True
CoT Success vs Direct Failure,G4,G1,5,vel_autocorr_lag4,7.861735523649128,7.5131356252564325,0.06632306722826165,0.688,False
CoT Success vs Direct Failure,G4,G1,5,msd_exponent,0.14067117716912733,0.06891684743474406,3.5835117727037105,0.0,True
CoT Success vs Direct Failure,G4,G1,5,cos_to_running_mean,0.6373245547705167,0.822970707083373,-3.926406844387104,0.0,True
CoT Success vs Direct Failure,G4,G1,5,cos_to_late_window,0.48874751094210844,0.57165204750167,-4.065390412840221,0.0,True
CoT Success vs Direct Failure,G4,G1,5,time_to_commit,17.932735426008968,9.577777777777778,1.0272847011826678,0.0,True
CoT Success vs Direct Failure,G4,G1,5,recurrence_rate,0.0,0.0,0.0,1.0,False
CoT Success vs Direct Failure,G4,G1,5,psd_slope,-0.20160535741199787,0.2473500440023848,-0.9029190039730932,0.0,True
CoT Success vs Direct Failure,G4,G1,5,spectral_entropy,0.9225083387136749,0.8898009083745049,0.9900333324629877,0.0,True
CoT Success vs Direct Failure,G4,G1,6,speed,11.48267027080861,9.961143053494967,3.5339460260161504,0.0,True
CoT Success vs Direct Failure,G4,G1,6,dir_consistency,0.05476541282617453,0.37345804528970467,-2.826863201174657,0.0,True
CoT Success vs Direct Failure,G4,G1,6,stabilization,0.0013871598645503681,-0.22480432787187446,0.536851451486184,0.0,True
CoT Success vs Direct Failure,G4,G1,6,turning_angle,1.9587676888624115,1.892674676802477,1.2464024006839016,0.0,True
