model,layer,metric,g4_mean,g1_mean,t_stat,p_val,cohen_d,n_g4,n_g1
pythia410m,3,full_dir_consistency,0.07909791071428571,0.5484908590712468,-23.374386371605,1.5940432531230414e-75,-1.7049440970385854,7,393
pythia410m,3,full_stabilisation,0.07523606971331112,0.2090923453815866,-4.655877359811028,0.00028643303618279455,-0.5333447156612795,7,393
pythia410m,3,full_radius_of_gyration,11.127099,8.816258572264632,39.487121624681045,4.170643403552337e-130,2.9117168614244906,7,393
pythia410m,3,full_effective_dimension,7.17663710457938,1.8954592918925006,25.907164863526926,4.3785467430685024e-08,6.62807482497225,7,393
pythia410m,3,full_cos_slope_to_final,-0.004389140035768928,-0.015434101791918326,10.334049932900989,1.553609205759905e-19,1.1341339604562015,7,186
pythia410m,3,full_time_to_commit,9.857142857142858,1.6129032258064515,11.13444196514993,2.8300397652037505e-05,5.8237839066717445,7,186
pythia410m,3,full_commitment_sharpness,0.7213122504098075,0.4307965963117538,10.109715403486767,2.8909967778314624e-15,1.2173383917861533,7,186
pythia410m,3,full_phase_count,3.7142857142857144,1.0508905852417303,2.984747031375047,0.024460287777052676,1.6997908343093782,7,393
pythia410m,3,clean_interlayer_alignment,0.8253816110747201,0.43939316348568475,18.436785790041295,4.079975271669605e-55,1.317138468383981,7,393
pythia410m,3,full_interlayer_alignment,0.8230413657142857,0.8336053944783716,-20.384764768375202,1.5944373301286055e-21,-1.8683640628539282,7,393
pythia410m,3,clean_speed,15.852583612714495,15.035142808579481,9.244215565741131,3.5383827499935945e-15,1.0117211375650297,7,208
pythia410m,3,clean_turn_angle,2.107945340020316,0.4746310140651006,27.25254723043051,2.5295574883727285e-71,2.724289203650492,7,208
pythia410m,3,clean_tortuosity,0.05013860921774587,0.8916755946209798,-61.74239407148757,9.448945219236586e-138,-6.175169247469426,7,208
pythia410m,3,clean_dir_consistency,0.0640028800283159,0.8898034442502719,-57.2031491977603,2.2062165423422895e-113,-5.950338036419322,7,208
pythia410m,3,clean_stabilisation,0.25446300355137075,-0.002714955710687077,17.088922401898827,1.377571562329741e-06,6.824225201022064,7,208
pythia410m,3,clean_radius_of_gyration,10.896691731044225,7.866245748905035,84.67186846100338,2.4281504075772656e-158,8.6261237930663,7,208
pythia410m,3,clean_effective_dimension,6.267076628548758,1.0032240490500743,25.43225372525499,2.4212062135760866e-07,14.624003229935443,7,208
pythia410m,3,full_msd_exponent,0.015504198961154403,-0.050441888976398334,1.1698026842539284,0.26735936220915657,0.5270393916745563,7,11
pythia410m,3,full_fractal_dimension,76.86333255165098,0.38346586136437166,1.1676404910643416,0.28724559357799606,0.6741298499431947,7,11
pythia410m,4,clean_phase_count,3.2857142857142856,1.0127226463104326,12.295341138107698,1.6446292386008276e-05,6.214757077131799,7,393
pythia410m,4,full_speed,16.331293714285717,16.551082543002543,-4.103121725454827,4.963076272440248e-05,-0.29773163152016124,7,393
pythia410m,4,full_turn_angle,2.0681028025490895,1.2482749520974001,15.53857683980636,9.716030037773566e-43,1.1275870587716295,7,393
pythia410m,4,full_tortuosity,0.06884191885714286,0.546622270173028,-23.626269900392632,1.741349046660608e-77,-1.7111655598556403,7,393
pythia410m,4,full_dir_consistency,0.07494571028571428,0.5519835745903308,-23.868640326831084,4.437982336560838e-78,-1.7354432361420795,7,393
pythia410m,4,full_stabilisation,0.024966497485985947,0.16671069839843347,-6.042664002129165,1.1097065675791747e-05,-0.658998636748643,7,393
pythia410m,4,full_radius_of_gyration,11.718505714285715,9.640532428244276,33.07868583752843,2.6689016609908852e-115,2.4008790250030807,7,393
pythia410m,4,full_effective_dimension,7.422697952815464,1.9766684239753938,20.42696999068917,3.519380962157025e-07,6.067295023181132,7,393
pythia410m,4,full_cos_slope_to_final,-0.0018613458794487288,-0.0063591181425723155,4.926549123567172,1.031019747197471e-05,0.6217893153652911,7,186
pythia410m,4,full_time_to_commit,9.857142857142858,1.7043010752688172,11.015497480300667,3.046701670089948e-05,5.819614511147891,7,186
pythia410m,4,full_commitment_sharpness,0.7737136568341937,0.5360540856597245,8.779495341562013,1.6726806524040529e-12,1.0702401947991997,7,186
pythia410m,4,full_phase_count,3.7142857142857144,1.0610687022900764,9.258130952753866,8.361498170103962e-05,4.535116153587804,7,393
pythia410m,4,clean_interlayer_alignment,0.8253816110747201,0.43939316348568475,18.436785790041295,4.079975271669605e-55,1.317138468383981,7,393
pythia410m,4,full_interlayer_alignment,0.8230413657142857,0.8336053944783716,-20.384764768375202,1.5944373301286055e-21,-1.8683640628539282,7,393
pythia410m,4,clean_speed,16.66349274771554,16.351989545501194,3.6062519718136468,0.0003958555446374577,0.3695803605273286,7,208
pythia410m,4,clean_turn_angle,2.1098521096365794,0.4614025726914406,28.09766312013958,4.094090232186352e-73,2.8274354616770485,7,208
pythia410m,4,clean_tortuosity,0.05060922886644088,0.896675543859601,-64.72563054177462,2.4816490362415096e-141,-6.497976589553634,7,208
pythia410m,4,clean_dir_consistency,0.059621942894799315,0.8952224581287458,-61.270909114317114,5.853785568681295e-123,-6.330568175241343,7,208
pythia410m,4,clean_stabilisation,0.17308830992136054,-0.0030889194241440713,15.91221973671875,8.714960216070033e-07,4.836916036238297,7,208
pythia410m,4,clean_radius_of_gyration,11.468940598624092,8.588803490767113,66.20005467498466,3.623152409066056e-70,7.459980174473295,7,208
pythia410m,4,clean_effective_dimension,6.45401702608381,1.003696078291306,20.357260035841307,9.097075137526777e-07,11.715929343785028,7,208
pythia410m,4,full_msd_exponent,0.029122036325228813,-0.02585928822396467,1.0135632660531537,0.33376851175948496,0.4551272585442702,7,11
pythia410m,4,full_fractal_dimension,94.87951711072856,0.3691006735435419,5.586732711607042,0.0013934014800692945,3.2249899309925514,7,11
pythia410m,5,clean_phase_count,3.5714285714285716,1.0025445292620865,12.714318897948422,1.4485723414018504e-05,7.303449715236188,7,393
pythia410m,5,full_speed,17.40386842857143,17.394751040203563,0.1450983409690121,0.8850516831395379,0.012173208026062194,7,393
pythia410m,5,full_turn_angle,2.057992696762085,1.2494217357562698,15.340981287158474,6.048461569548905e-42,1.1121712454282056,7,393
pythia410m,5,full_tortuosity,0.06462641314285714,0.5455073530025446,-23.915737578040343,7.712227521556656e-79,-1.729331235179964,7,393
pythia410m,5,full_dir_consistency,0.07354861028571429,0.550903864124682,-23.959041651815532,1.5475434104633888e-78,-1.7410064787721866,7,393
pythia410m,5,full_stabilisation,-0.04236643083638396,0.14860520182123768,-7.439590724472577,8.876364887326103e-06,-0.9748902427621444,7,393
pythia410m,5,full_radius_of_gyration,12.572861642857145,10.195584233333333,28.524619636498805,4.368488663995983e-75,2.1785649280741657,7,393
pythia410m,5,full_effective_dimension,8.070157323564802,2.0293684924831825,17.27516106137197,1.4039042557281562e-06,5.947815087055354,7,393
pythia410m,5,full_cos_slope_to_final,0.0014517114729829996,-0.0018220883063784128,7.252789436202177,5.314483159764657e-07,1.094859604613992,7,186
pythia410m,5,full_time_to_commit,9.857142857142858,1.7580645161290323,10.926817511787007,3.0694372369706414e-05,5.573719089119034,7,186
pythia410m,5,full_commitment_sharpness,0.6244085856846401,0.5892863222347793,1.4333380920473553,0.1534286421305177,0.15324309909608003,7,186
pythia410m,5,full_phase_count,4.142857142857143,1.0356234096692112,6.109752030720618,0.0008733045791794916,3.4677878582048587,7,393
pythia410m,5,clean_interlayer_alignment,0.8253816110747201,0.43939316348568475,18.436785790041295,4.079975271669605e-55,1.317138468383981,7,393
pythia410m,5,full_interlayer_alignment,0.8230413657142857,0.8336053944783716,-20.384764768375202,1.5944373301286055e-21,-1.8683640628539282,7,393
pythia410m,5,clean_speed,17.773877007620676,16.859552468244846,10.215735118225219,4.334805801382257e-13,1.2418349146291912,7,208
pythia410m,5,clean_turn_angle,2.0941509859902516,0.47071304057653135,27.192937489866125,5.80119815990549e-71,2.729679742490031,7,208
pythia410m,5,clean_tortuosity,0.054807475102799215,0.8916029130610136,-60.90541806137619,1.3181316637063913e-135,-6.12667539933593,7,208
