comparison,group_a,group_b,layer,metric,mean_a,mean_b,std_a,std_b,mean_diff,p_value,cohens_d,significant,n_a,n_b
CoT Success vs Direct Success,G4,G2,13,radius_of_gyration,1434.5068774317565,2229.2118864513577,130.02917157876212,136.83030623653283,-794.7050090196012,0.0,-5.985051667815355,True,253,168
CoT Success vs Direct Success,G4,G2,13,gyration_anisotropy,0.0019247462966802576,0.0008974415123608823,0.0006017135342702441,8.138692160014015e-05,0.0010273047843193752,0.0,2.188262469626731,True,253,168
CoT Success vs Direct Success,G4,G2,13,drift_to_spread,8.268118605783334,5.712225157590139,0.9634241879885432,0.24166641315727283,2.5558934481931948,0.0,3.35166852406761,True,253,168
CoT Success vs Direct Success,G4,G2,13,dir_autocorr_lag2,-0.16810832434727738,-0.16458115371919813,0.020680483946691693,0.01644614919101399,-0.0035271706280792514,0.0621,-0.18461425261076606,False,253,168
CoT Success vs Direct Success,G4,G2,13,dir_autocorr_lag4,0.13797461886875506,0.10535182274664592,0.05996841882642973,0.059151977863832146,0.03262279612210914,0.0,0.5469553366737568,True,253,168
CoT Success vs Direct Success,G4,G2,13,dir_autocorr_lag8,0.1194388995946959,0.02298473509792876,0.08917098069819047,0.09115720180502127,0.09645416449676714,0.0,1.0720955493070519,True,253,168
CoT Success vs Direct Success,G4,G2,13,vel_autocorr_lag1,255.62159918984878,-692.607899983724,221.46286168624124,166.46824777910285,948.2294991735728,0.0,4.7093083253036685,True,253,168
CoT Success vs Direct Success,G4,G2,13,vel_autocorr_lag2,-281.8846180731129,317.89611421880267,47.33705490734588,225.04051464859228,-599.7807322919156,0.0,-4.087386306860865,True,253,168
CoT Success vs Direct Success,G4,G2,13,vel_autocorr_lag4,-122.82928457090506,-119.62339709060532,207.76999537661663,341.22171202374534,-3.2058874802997366,0.9065,-0.011917137528187936,False,253,168
CoT Success vs Direct Success,G4,G2,13,msd_exponent,0.05484533682847798,0.1250747478702967,0.009198429420846092,0.03111262657226201,-0.07022941104181873,0.0,-3.3606825217026324,True,253,168
CoT Success vs Direct Success,G4,G2,13,cos_to_running_mean,0.17640981213612988,0.1543321660941555,0.007093877426901227,0.006744149798679882,0.022077646041974375,0.0,3.1736282976780656,True,253,168
CoT Success vs Direct Success,G4,G2,13,cos_to_late_window,0.5891346356614305,0.5500632453532446,0.06997352501222916,0.061191810009490276,0.03907139030818596,0.0,0.5865490207871171,True,253,168
CoT Success vs Direct Success,G4,G2,13,time_to_commit,3.0,3.0,0.0,0.0,0.0,1.0,,False,253,168
CoT Success vs Direct Success,G4,G2,13,recurrence_rate,0.0,0.0,0.0,0.0,0.0,1.0,,False,253,168
CoT Success vs Direct Success,G4,G2,13,psd_slope,-3.317593317688078,-3.9472620125753846,0.13093024304689596,0.2941708281458446,0.6296686948873065,0.0,2.97487649973906,True,253,168
CoT Success vs Direct Success,G4,G2,13,spectral_entropy,0.2915664094996936,0.2906010536811646,0.0004422023296284938,0.00404985606680459,0.0009653558185289679,0.0,0.3742180320784952,True,253,168
CoT Success vs Direct Success,G4,G2,14,speed,226.63868049953294,462.3179895310175,29.24047486632639,73.58333743585557,-235.67930903148454,0.0,-4.559116704920946,True,253,168
CoT Success vs Direct Success,G4,G2,14,dir_consistency,0.042020875739721394,0.06474441531602111,0.006658826507159325,0.010347193610132461,-0.022723539576299717,0.0,-2.7288790480795813,True,253,168
CoT Success vs Direct Success,G4,G2,14,stabilization,-17.159827519656,-82.479098089903,4.591772443620015,45.695536984060354,65.319270570247,0.0,2.247152857334093,True,253,168
CoT Success vs Direct Success,G4,G2,14,turning_angle,1.8848862549061831,1.873346127924465,0.017279612204460348,0.012981269440761105,0.011540126981718135,0.0,0.7346635922430087,True,253,168
CoT Success vs Direct Success,G4,G2,14,dir_autocorr,-0.30620970803758374,-0.2957838193646499,0.016186410497171812,0.012174874507061803,-0.010425888672933814,0.0,-0.7083205621916473,True,253,168
CoT Success vs Direct Success,G4,G2,14,tortuosity,0.7989483235381809,0.9069835465578806,0.0425268275870435,0.007250200326030139,-0.1080352230196997,0.0,-3.2446385113858267,True,253,168
CoT Success vs Direct Success,G4,G2,14,effective_dim,1.00204489165144,1.0007513129994983,0.0006829851260410099,6.288285564995336e-05,0.0012935786519416848,0.0,2.4354088636505664,True,253,168
CoT Success vs Direct Success,G4,G2,14,cos_slope,0.003341062327889329,0.004574607463846856,0.0008646989194768436,0.00188575591678629,-0.0012335451359575273,0.0,-0.9027744580377894,True,253,168
CoT Success vs Direct Success,G4,G2,14,dist_slope,-17.266259209483014,-82.62232852026011,4.599489088601247,45.68136413823757,65.3560693107771,0.0,2.2490491304221556,True,253,168
CoT Success vs Direct Success,G4,G2,14,early_late_ratio,8.464739785364022,15.13174565633138,1.4514659840276165,3.7418237935196186,-6.667005870967358,0.0,-2.547793709262209,True,253,168
CoT Success vs Direct Success,G4,G2,14,radius_of_gyration,1434.244620703897,2228.7579607282364,130.00982263624687,136.8106812136514,-794.5133400243394,0.0,-5.984485073206953,True,253,168
CoT Success vs Direct Success,G4,G2,14,gyration_anisotropy,0.0020271971388555548,0.0009488018421230435,0.0006040621645778295,8.07187987554457e-05,0.0010783952967325112,0.0,2.2884879497138444,True,253,168
CoT Success vs Direct Success,G4,G2,14,drift_to_spread,8.268569320558088,5.711911319267182,0.9631780888471796,0.24160111953812313,2.5566580012909057,0.0,3.353529731361204,True,253,168
CoT Success vs Direct Success,G4,G2,14,dir_autocorr_lag2,-0.16477050761813702,-0.1637711158199679,0.019027309694471004,0.015583342037145863,-0.0009993917981691303,0.5737,-0.05635140276610205,False,253,168
