comparison,group1,group2,layer,metric,cohens_d,perm_p,significant,n1,n2
Direct Success vs Direct Failure,G2,G1,4,speed,-0.39742020211291235,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,5,speed,-0.39557370225853306,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,6,speed,-0.3939021722045368,0.001,True,198,102
Direct Success vs Direct Failure,G2,G1,7,speed,-0.3945528747792113,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,8,speed,-0.39530136119212556,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,9,speed,-0.39502584538293806,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,10,speed,-0.3950565166844207,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,11,speed,-0.39357659352001284,0.001,True,198,102
Direct Success vs Direct Failure,G2,G1,12,speed,-0.39161021136180446,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,13,speed,-0.392211303188144,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,14,speed,-0.39323020364566236,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,15,speed,-0.39116143481080323,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,16,speed,-0.39209911621685845,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,17,speed,-0.39160048370133543,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,18,speed,-0.39452333856117006,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,19,speed,-0.3986096501348799,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,20,speed,-0.405992950007783,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,21,speed,-0.40795904566857727,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,22,speed,-0.416221267619369,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,23,speed,-0.39963208020438606,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,24,speed,-0.38541936582204667,0.003,True,198,102
